Record ID,Record Type,Record Nature,Redirect,Name,Description,Classification System,Classification Code,Last Name,First Name,Name Suffix,Name Preferred,Attributes,Linked Data,Related Citations Count,Staff Notes,Record History,Created Date,Modified Date,Creator,Modifier
CBA000144056,Person,Active (RecordStatusExplanation ),,"Ackermann, Robert J.",,Proper name,,,,,,,,1,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.605661+00:00,,  (IsisAdmin-SPW)
CBA000000353,Person,Active (RecordStatusExplanation ),,"Ackermann, Robert John",,Proper name,,,,,,,,8,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.649923+00:00,,  (IsisAdmin-SPW)
CBA000000354,Person,Active (RecordStatusExplanation ),,"Ackermann, S.",,Proper name,,,,,,,,4,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.695180+00:00,,  (IsisAdmin-SPW)
CBA000144057,Person,Active (RecordStatusExplanation ),,"Ackermann, Silke",,Proper name,,,,,,,,8,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.735946+00:00,,  (IsisAdmin-SPW)
CBA000144052,Person,Active (RecordStatusExplanation ),,"Ackerman, R.",,Proper name,,,,,,,,2,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.793361+00:00,,  (IsisAdmin-SPW)
CBA000144053,Person,Active (RecordStatusExplanation ),,"Ackerman, S.",,Proper name,,,,,,,,1,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.842508+00:00,,  (IsisAdmin-SPW)
CBA000000346,Person,Active (RecordStatusExplanation ),,"Ackerman, Sara L",,Proper name,,,,,,,,2,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.895137+00:00,,  (IsisAdmin-SPW)
CBA061671082,Person,Active (RecordStatusExplanation ),,"Ackerman, Seth",,Proper name,,Ackerman,Seth,,,,LinkedData_ID LED695425735 || Status Active || Type VIAF || URN http://viaf.org/viaf/1323147425879245040001 || ResourceName VIAF || URL ,1,,"This record was changed as part of bulk change #5414. ""CBA Name"" was changed from ""Seth Ackerman"" to ""Ackerman, Seth"" by StephenPWeldon on 10/07/21 08:38:37 PM UTC.",2021-08-11 19:18:00.472109+00:00,2023-12-27 22:49:21.410134+00:00,Bruce Seely (bseely),Stephen Weldon (StephenPWeldon)
CBA000000347,Person,Active (RecordStatusExplanation ),,"Ackerman, Silke",,Proper name,,,,,,,,1,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:03.969014+00:00,,  (IsisAdmin-SPW)
CBA000000348,Person,Active (RecordStatusExplanation ),,"Åckerman, Susanna",,Proper name,,,,,,,,6,,"Record marked as Active by acr_cleaup.pl on June 27, 2016. Imported from Filemaker conversion table on May 27, 2016.  Created during the 2015 conversion conversion

This record was changed as part of bulk change #8388. ""CBA Dataset"" was changed from ""None"" to ""Isis Bibliography of the History of Science (Stephen P. Weldon, ed.)"" by IsisAdmin-SPW on 07/22/24 08:56:24 PM UTC.",,2024-07-22 21:01:04.033080+00:00,,  (IsisAdmin-SPW)
